t,Speed,accx,accy,yaw_rate,steering_angle,current,pose_x,pose_y,roll,pitch,yaw,velocity_vehicle_x,velocity_vehicle_y,acc_vehicle_x,acc_vehicle_y,angular_velocity_from_yaw
290,9.046,2.9636,-3.2855,-0.0976,-0.3311,34.7477,-125.0738,66.721,0,0,0,-8.235,-2.0367,0,0,-0.0976
290.05,9.046,2.3653,-3.4757,-0.2389,-0.3934,36.4132,-125.4855,66.6192,0,0,-0.0084,-8.235,-2.0367,-2.7518,-0.4144,-0.2389
290.1,9.046,2.8637,-4.2423,-0.3139,-0.4075,38.2827,-125.8973,66.5173,0,0,-0.0222,-8.5102,-2.0782,-9.5696,-1.4411,-0.3139
290.15,9.494,2.9783,-4.6107,-0.3505,-0.4108,40.2725,-126.3365,66.4113,0,0,-0.0388,-9.192,-2.1809,-10.8838,-1.639,-0.3505
290.2,9.494,2.5538,-3.7375,-0.3541,-0.42,42.3785,-126.8165,66.2992,0,0,-0.0565,-9.5986,-2.2421,-5.9001,-0.5158,-0.3541
290.25,9.494,3.9948,-4.9375,-0.3899,-0.4185,44.8953,-127.2964,66.1871,0,0,-0.0751,-9.782,-2.2324,-6.0999,0.3208,-0.3899
290.3,9.985,3.5693,-4.8107,-0.3736,-0.4185,47.2176,-127.7946,66.076,0,0,-0.0941,-10.2085,-2.21,-6.6974,0.3523,-0.3736
290.35,9.985,3.5932,-5.0898,-0.4005,-0.4216,49.4543,-128.3172,65.9661,0,0,-0.1135,-10.4517,-2.1972,-1.4468,3.0946,-0.4005
290.4,9.985,3.3855,-5.2343,-0.405,-0.4231,51.488,-128.8398,65.8563,0,0,-0.1336,-10.3532,-1.9005,3.4745,10.4658,-0.405
290.45,10.435,2.8159,-4.2293,-0.3983,-0.4231,52.4927,-129.3526,65.7761,0,0,-0.1537,-10.1043,-1.1506,3.9943,12.0317,-0.3983
290.5,10.435,3.6396,-5.4981,-0.4044,-0.4231,53.7565,-129.8502,65.7412,0,0,-0.1738,-9.9538,-0.6974,-0.8641,4.448,-0.4044
290.55,10.435,2.8749,-5.6081,-0.3916,-0.4231,54.7103,-130.3479,65.7063,0,0,-0.1937,-10.1907,-0.7058,-13.6779,-0.4876,-0.3916
290.6,11.096,3.4829,-5.0031,-0.4357,-0.4231,55.5219,-130.8693,65.6706,0,0,-0.2144,-11.3216,-0.7461,-20.2494,-0.7219,-0.4357
290.65,11.096,2.7993,-5.6442,-0.4344,-0.4231,56.5313,-131.4801,65.6317,0,0,-0.2361,-12.2156,-0.778,-5.7519,2.1793,-0.4344
